waawaatesi+NA	waawaatesiw
2+waawaatesi+NA+Con+2+Pl+Loc	giwaawaatesiwenywaang

2+waawaatesi+NA+Con+2+Pl+Pl	giwaawaatesiwenywaaag

2+waawaatesi+NA+Dim+1+Pl+4	giwaawaatesiwensnaanin

2+waawaatesi+NA+Dim+1+Pl+Loc	giwaawaatesiwensnaaning

2+waawaatesi+NA+Dim+1+Pl+Pl	giwaawaatesiwensnaany1ag

2+waawaatesi+NA+Dim+2+Pl+4	giwaawaatesiwenswaan

2+waawaatesi+NA+Dim+2+Pl+Loc	giwaawaatesiwenswaang

2+waawaatesi+NA+Dim+2+Pl+Pl	giwaawaatesiwenswaaag

3+waawaatesi+NA+Con+2+Pl+4	owaawaatesiwenywaan

3+waawaatesi+NA+Con+2+Pl+Loc	owaawaatesiwenywaang

3+waawaatesi+NA+Con+3+4+4	owaawaatesiwenyniwan

3+waawaatesi+NA+Con+3+4+Loc	owaawaatesiwenyniing

3+waawaatesi+NA+Dim+2+Pl+4	owaawaatesiwenswaan

3+waawaatesi+NA+Dim+2+Pl+Loc	owaawaatesiwenswaang

3+waawaatesi+NA+Dim+3+4+4	owaawaatesiwensniwan

3+waawaatesi+NA+Dim+3+4+Loc	owaawaatesiwensniing

1+waawaatesi+NA+Con+Prt+4	niwaawaatesiwenyibaniin

1+waawaatesi+NA+Con+Prt+Loc	niwaawaatesiwenyibaniing

1+waawaatesi+NA+Con+Prt+Pl	niwaawaatesiwenyibani1ag

1+waawaatesi+NA+Dim+Prt+4	niwaawaatesiwensibaniin

1+waawaatesi+NA+Dim+Prt+Loc	niwaawaatesiwensibaniing

1+waawaatesi+NA+Dim+Prt+Pl	niwaawaatesiwensibani1ag

2+waawaatesi+NA+Con+Prt+4	giwaawaatesiwenyibaniin

2+waawaatesi+NA+Con+Prt+Loc	giwaawaatesiwenyibaniing

2+waawaatesi+NA+Con+Prt+Pl	giwaawaatesiwenyibani1ag

2+waawaatesi+NA+Dim+Prt+4	giwaawaatesiwensibaniin

2+waawaatesi+NA+Dim+Prt+Loc	giwaawaatesiwensibaniing

2+waawaatesi+NA+Dim+Prt+Pl	giwaawaatesiwensibani1ag

3+waawaatesi+NA+Con+Prt+4	owaawaatesiwenyibaniin

3+waawaatesi+NA+Con+Prt+Loc	owaawaatesiwenyibaniing

3+waawaatesi+NA+Dim+Prt+4	owaawaatesiwensibaniin

3+waawaatesi+NA+Dim+Prt+Loc	owaawaatesiwensibaniing

X+waawaatesi+NA+Con+Prt+4	iwaawaatesiwenyibaniin

X+waawaatesi+NA+Con+Prt+Loc	iwaawaatesiwenyibaniing

X+waawaatesi+NA+Con+Prt+Pl	iwaawaatesiwenyibani1ag

X+waawaatesi+NA+Dim+Prt+4	iwaawaatesiwensibaniin

X+waawaatesi+NA+Dim+Prt+Loc	iwaawaatesiwensibaniing

X+waawaatesi+NA+Dim+Prt+Pl	iwaawaatesiwensibani1ag

1+waawaatesi+NA+ThmPos+Pej+1+Pl	niwaawaatesiwmishnaan
1+waawaatesi+NA+ThmPos+Pej+1+Pl	niwaawaatesiwmishnaa

2+waawaatesi+NA+ThmPos+Pej+1+Pl	giwaawaatesiwmishnaan
2+waawaatesi+NA+ThmPos+Pej+1+Pl	giwaawaatesiwmishnaa

2+waawaatesi+NA+ThmPos+Pej+2+Pl	giwaawaatesiwmishwaa

3+waawaatesi+NA+ThmPos+Pej+3+4	owaawaatesiwmishniw

1+waawaatesi+NA+ThmPos+Pej+Prt	niwaawaatesiwmishiban
1+waawaatesi+NA+ThmPos+Pej+Prt	niwaawaatesiwmishiba

1+waawaatesi+NA+ThmPos+Pej+Voc+Pl	niwaawaatesiwmishdig

2+waawaatesi+NA+ThmPos+Pej+Prt	giwaawaatesiwmishiban
2+waawaatesi+NA+ThmPos+Pej+Prt	giwaawaatesiwmishiba

2+waawaatesi+NA+ThmPos+Pej+Voc+Pl	giwaawaatesiwmishdig

X+waawaatesi+NA+ThmPos+Pej+Prt	iwaawaatesiwmishiban
X+waawaatesi+NA+ThmPos+Pej+Prt	iwaawaatesiwmishiba

X+waawaatesi+NA+ThmPos+Pej+Voc+Pl	iwaawaatesiwmishdig

1+waawaatesi+NA+ThmPos+Pej+4	niwaawaatesiwmishan

1+waawaatesi+NA+ThmPos+Pej+Loc	niwaawaatesiwmishing

1+waawaatesi+NA+ThmPos+Pej+Pl	niwaawaatesiwmishag

2+waawaatesi+NA+ThmPos+Pej+4	giwaawaatesiwmishan

2+waawaatesi+NA+ThmPos+Pej+Loc	giwaawaatesiwmishing

2+waawaatesi+NA+ThmPos+Pej+Pl	giwaawaatesiwmishag

3+waawaatesi+NA+ThmPos+Pej+4	owaawaatesiwmishan

3+waawaatesi+NA+ThmPos+Pej+Loc	owaawaatesiwmishing

X+waawaatesi+NA+ThmPos+Pej+4	iwaawaatesiwmishan

X+waawaatesi+NA+ThmPos+Pej+Loc	iwaawaatesiwmishing

X+waawaatesi+NA+ThmPos+Pej+Pl	iwaawaatesiwmishag

1+waawaatesi+NA+ThmPos+1+Pl+Prt	niwaawaatesiwmnaaniban
1+waawaatesi+NA+ThmPos+1+Pl+Prt	niwaawaatesiwmnaaniba

1+waawaatesi+NA+ThmPos+1+Pl+Voc+Pl	niwaawaatesiwmnaany1dig

2+waawaatesi+NA+ThmPos+1+Pl+Prt	giwaawaatesiwmnaaniban
2+waawaatesi+NA+ThmPos+1+Pl+Prt	giwaawaatesiwmnaaniba

2+waawaatesi+NA+ThmPos+1+Pl+Voc+Pl	giwaawaatesiwmnaany1dig

2+waawaatesi+NA+ThmPos+2+Pl+Prt	giwaawaatesiwmwaaban
2+waawaatesi+NA+ThmPos+2+Pl+Prt	giwaawaatesiwmwaaba

2+waawaatesi+NA+ThmPos+2+Pl+Voc+Pl	giwaawaatesiwmwaadig

3+waawaatesi+NA+ThmPos+3+4+Prt	owaawaatesiwmniwiban
3+waawaatesi+NA+ThmPos+3+4+Prt	owaawaatesiwmniwiba
3+waawaatesi+NA+ThmPos+3+4+Prt	owaawaatesiwmniiban
3+waawaatesi+NA+ThmPos+3+4+Prt	owaawaatesiwmniiba

1+waawaatesi+NA+ThmPos+1+Pl+4	niwaawaatesiwmnaanin

1+waawaatesi+NA+ThmPos+1+Pl+Loc	niwaawaatesiwmnaaning

1+waawaatesi+NA+ThmPos+1+Pl+Pl	niwaawaatesiwmnaany1ag

2+waawaatesi+NA+ThmPos+1+Pl+4	giwaawaatesiwmnaanin

2+waawaatesi+NA+ThmPos+1+Pl+Loc	giwaawaatesiwmnaaning

2+waawaatesi+NA+ThmPos+1+Pl+Pl	giwaawaatesiwmnaany1ag

2+waawaatesi+NA+ThmPos+2+Pl+4	giwaawaatesiwmwaan

2+waawaatesi+NA+ThmPos+2+Pl+Loc	giwaawaatesiwmwaang

2+waawaatesi+NA+ThmPos+2+Pl+Pl	giwaawaatesiwmwaaag

3+waawaatesi+NA+ThmPos+2+Pl+4	owaawaatesiwmwaan

3+waawaatesi+NA+ThmPos+2+Pl+Loc	owaawaatesiwmwaang

3+waawaatesi+NA+ThmPos+3+4+4	owaawaatesiwmniwan

3+waawaatesi+NA+ThmPos+3+4+Loc	owaawaatesiwmniing

1+waawaatesi+NA+ThmPos+Prt+4	niwaawaatesiwmibaniin

1+waawaatesi+NA+ThmPos+Prt+Loc	niwaawaatesiwmibaniing

1+waawaatesi+NA+ThmPos+Prt+Pl	niwaawaatesiwmibani1ag

2+waawaatesi+NA+ThmPos+Prt+4	giwaawaatesiwmibaniin

2+waawaatesi+NA+ThmPos+Prt+Loc	giwaawaatesiwmibaniing

2+waawaatesi+NA+ThmPos+Prt+Pl	giwaawaatesiwmibani1ag

3+waawaatesi+NA+ThmPos+Prt+4	owaawaatesiwmibaniin

3+waawaatesi+NA+ThmPos+Prt+Loc	owaawaatesiwmibaniing

X+waawaatesi+NA+ThmPos+Prt+4	iwaawaatesiwmibaniin

X+waawaatesi+NA+ThmPos+Prt+Loc	iwaawaatesiwmibaniing

X+waawaatesi+NA+ThmPos+Prt+Pl	iwaawaatesiwmibani1ag

1+waawaatesi+NA+Pej+1+Pl+Prt	niwaawaatesiwshnaaniban
1+waawaatesi+NA+Pej+1+Pl+Prt	niwaawaatesiwshnaaniba

1+waawaatesi+NA+Pej+1+Pl+Voc+Pl	niwaawaatesiwshnaany1dig

2+waawaatesi+NA+Pej+1+Pl+Prt	giwaawaatesiwshnaaniban
2+waawaatesi+NA+Pej+1+Pl+Prt	giwaawaatesiwshnaaniba

2+waawaatesi+NA+Pej+1+Pl+Voc+Pl	giwaawaatesiwshnaany1dig

2+waawaatesi+NA+Pej+2+Pl+Prt	giwaawaatesiwshwaaban
2+waawaatesi+NA+Pej+2+Pl+Prt	giwaawaatesiwshwaaba

2+waawaatesi+NA+Pej+2+Pl+Voc+Pl	giwaawaatesiwshwaadig

3+waawaatesi+NA+Pej+3+4+Prt	owaawaatesiwshniwiban
3+waawaatesi+NA+Pej+3+4+Prt	owaawaatesiwshniwiba
3+waawaatesi+NA+Pej+3+4+Prt	owaawaatesiwshniiban
3+waawaatesi+NA+Pej+3+4+Prt	owaawaatesiwshniiba

1+waawaatesi+NA+Pej+1+Pl+4	niwaawaatesiwshnaanin

1+waawaatesi+NA+Pej+1+Pl+Loc	niwaawaatesiwshnaaning

1+waawaatesi+NA+Pej+1+Pl+Pl	niwaawaatesiwshnaany1ag

2+waawaatesi+NA+Pej+1+Pl+4	giwaawaatesiwshnaanin

2+waawaatesi+NA+Pej+1+Pl+Loc	giwaawaatesiwshnaaning

2+waawaatesi+NA+Pej+1+Pl+Pl	giwaawaatesiwshnaany1ag

2+waawaatesi+NA+Pej+2+Pl+4	giwaawaatesiwshwaan

2+waawaatesi+NA+Pej+2+Pl+Loc	giwaawaatesiwshwaang

2+waawaatesi+NA+Pej+2+Pl+Pl	giwaawaatesiwshwaaag

3+waawaatesi+NA+Pej+2+Pl+4	owaawaatesiwshwaan

3+waawaatesi+NA+Pej+2+Pl+Loc	owaawaatesiwshwaang

3+waawaatesi+NA+Pej+3+4+4	owaawaatesiwshniwan

3+waawaatesi+NA+Pej+3+4+Loc	owaawaatesiwshniing

1+waawaatesi+NA+Pej+Prt+4	niwaawaatesiwshibaniin

1+waawaatesi+NA+Pej+Prt+Loc	niwaawaatesiwshibaniing

1+waawaatesi+NA+Pej+Prt+Pl	niwaawaatesiwshibani1ag

2+waawaatesi+NA+Pej+Prt+4	giwaawaatesiwshibaniin

2+waawaatesi+NA+Pej+Prt+Loc	giwaawaatesiwshibaniing

2+waawaatesi+NA+Pej+Prt+Pl	giwaawaatesiwshibani1ag

3+waawaatesi+NA+Pej+Prt+4	owaawaatesiwshibaniin

3+waawaatesi+NA+Pej+Prt+Loc	owaawaatesiwshibaniing

X+waawaatesi+NA+Pej+Prt+4	iwaawaatesiwshibaniin

X+waawaatesi+NA+Pej+Prt+Loc	iwaawaatesiwshibaniing

X+waawaatesi+NA+Pej+Prt+Pl	iwaawaatesiwshibani1ag

1+waawaatesi+NA+1+Pl+Prt+4	niwaawaatesiwnaanibaniin

1+waawaatesi+NA+1+Pl+Prt+Loc	niwaawaatesiwnaanibaniing

1+waawaatesi+NA+1+Pl+Prt+Pl	niwaawaatesiwnaanibani1ag

2+waawaatesi+NA+1+Pl+Prt+4	giwaawaatesiwnaanibaniin

2+waawaatesi+NA+1+Pl+Prt+Loc	giwaawaatesiwnaanibaniing

2+waawaatesi+NA+1+Pl+Prt+Pl	giwaawaatesiwnaanibani1ag

2+waawaatesi+NA+2+Pl+Prt+4	giwaawaatesiwwaabaniin

2+waawaatesi+NA+2+Pl+Prt+Loc	giwaawaatesiwwaabaniing

2+waawaatesi+NA+2+Pl+Prt+Pl	giwaawaatesiwwaabani1ag

3+waawaatesi+NA+2+Pl+Prt+4	owaawaatesiwwaabaniin

3+waawaatesi+NA+2+Pl+Prt+Loc	owaawaatesiwwaabaniing

3+waawaatesi+NA+3+4+Prt+4	owaawaatesiwniwibaniin
3+waawaatesi+NA+3+4+Prt+4	owaawaatesiwniibaniin

3+waawaatesi+NA+3+4+Prt+Loc	owaawaatesiwniwibaniing
3+waawaatesi+NA+3+4+Prt+Loc	owaawaatesiwniibaniing

waawaatesi+NA+Con+Pej+Prt+4	waawaatesiwenyishibaniin

waawaatesi+NA+Con+Pej+Prt+Loc	waawaatesiwenyishibaniing

waawaatesi+NA+Con+Pej+Prt+Pl	waawaatesiwenyishibani1ag

waawaatesi+NA+Dim+Pej+Prt+4	waawaatesiwensishibaniin

waawaatesi+NA+Dim+Pej+Prt+Loc	waawaatesiwensishibaniing

waawaatesi+NA+Dim+Pej+Prt+Pl	waawaatesiwensishibani1ag

1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl	niwaawaatesiwenymishnaan
1+waawaatesi+NA+Con+ThmPos+Pej+1+Pl	niwaawaatesiwenymishnaa

1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl	niwaawaatesiwensmishnaan
1+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl	niwaawaatesiwensmishnaa

2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl	giwaawaatesiwenymishnaan
2+waawaatesi+NA+Con+ThmPos+Pej+1+Pl	giwaawaatesiwenymishnaa

2+waawaatesi+NA+Con+ThmPos+Pej+2+Pl	giwaawaatesiwenymishwaa

2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl	giwaawaatesiwensmishnaan
2+waawaatesi+NA+Dim+ThmPos+Pej+1+Pl	giwaawaatesiwensmishnaa

2+waawaatesi+NA+Dim+ThmPos+Pej+2+Pl	giwaawaatesiwensmishwaa

3+waawaatesi+NA+Con+ThmPos+Pej+3+4	owaawaatesiwenymishniw

3+waawaatesi+NA+Dim+ThmPos+Pej+3+4	owaawaatesiwensmishniw

1+waawaatesi+NA+Con+ThmPos+Pej+Prt	niwaawaatesiwenymishiban
1+waawaatesi+NA+Con+ThmPos+Pej+Prt	niwaawaatesiwenymishiba

1+waawaatesi+NA+Con+ThmPos+Pej+Voc+Pl	niwaawaatesiwenymishdig

1+waawaatesi+NA+Dim+ThmPos+Pej+Prt	niwaawaatesiwensmishiban
1+waawaatesi+NA+Dim+ThmPos+Pej+Prt	niwaawaatesiwensmishiba

1+waawaatesi+NA+Dim+ThmPos+Pej+Voc+Pl	niwaawaatesiwensmishdig

2+waawaatesi+NA+Con+ThmPos+Pej+Prt	giwaawaatesiwenymishiban
2+waawaatesi+NA+Con+ThmPos+Pej+Prt	giwaawaatesiwenymishiba

2+waawaatesi+NA+Con+ThmPos+Pej+Voc+Pl	giwaawaatesiwenymishdig

2+waawaatesi+NA+Dim+ThmPos+Pej+Prt	giwaawaatesiwensmishiban
2+waawaatesi+NA+Dim+ThmPos+Pej+Prt	giwaawaatesiwensmishiba

2+waawaatesi+NA+Dim+ThmPos+Pej+Voc+Pl	giwaawaatesiwensmishdig

X+waawaatesi+NA+Con+ThmPos+Pej+Prt	iwaawaatesiwenymishiban
X+waawaatesi+NA+Con+ThmPos+Pej+Prt	iwaawaatesiwenymishiba

X+waawaatesi+NA+Con+ThmPos+Pej+Voc+Pl	iwaawaatesiwenymishdig

X+waawaatesi+NA+Dim+ThmPos+Pej+Prt	iwaawaatesiwensmishiban
X+waawaatesi+NA+Dim+ThmPos+Pej+Prt	iwaawaatesiwensmishiba

X+waawaatesi+NA+Dim+ThmPos+Pej+Voc+Pl	iwaawaatesiwensmishdig

1+waawaatesi+NA+Con+ThmPos+Pej+4	niwaawaatesiwenymishan

1+waawaatesi+NA+Con+ThmPos+Pej+Loc	niwaawaatesiwenymishing

1+waawaatesi+NA+Con+ThmPos+Pej+Pl	niwaawaatesiwenymishag

1+waawaatesi+NA+Dim+ThmPos+Pej+4	niwaawaatesiwensmishan

1+waawaatesi+NA+Dim+ThmPos+Pej+Loc	niwaawaatesiwensmishing

1+waawaatesi+NA+Dim+ThmPos+Pej+Pl	niwaawaatesiwensmishag

2+waawaatesi+NA+Con+ThmPos+Pej+4	giwaawaatesiwenymishan

2+waawaatesi+NA+Con+ThmPos+Pej+Loc	giwaawaatesiwenymishing

2+waawaatesi+NA+Con+ThmPos+Pej+Pl	giwaawaatesiwenymishag

2+waawaatesi+NA+Dim+ThmPos+Pej+4	giwaawaatesiwensmishan

2+waawaatesi+NA+Dim+ThmPos+Pej+Loc	giwaawaatesiwensmishing

2+waawaatesi+NA+Dim+ThmPos+Pej+Pl	giwaawaatesiwensmishag

3+waawaatesi+NA+Con+ThmPos+Pej+4	owaawaatesiwenymishan

3+waawaatesi+NA+Con+ThmPos+Pej+Loc	owaawaatesiwenymishing

3+waawaatesi+NA+Dim+ThmPos+Pej+4	owaawaatesiwensmishan

3+waawaatesi+NA+Dim+ThmPos+Pej+Loc	owaawaatesiwensmishing

X+waawaatesi+NA+Con+ThmPos+Pej+4	iwaawaatesiwenymishan

X+waawaatesi+NA+Con+ThmPos+Pej+Loc	iwaawaatesiwenymishing

X+waawaatesi+NA+Con+ThmPos+Pej+Pl	iwaawaatesiwenymishag

X+waawaatesi+NA+Dim+ThmPos+Pej+4	iwaawaatesiwensmishan

X+waawaatesi+NA+Dim+ThmPos+Pej+Loc	iwaawaatesiwensmishing

X+waawaatesi+NA+Dim+ThmPos+Pej+Pl	iwaawaatesiwensmishag

1+waawaatesi+NA+Con+ThmPos+1+Pl+Prt	niwaawaatesiwenymnaaniban
1+waawaatesi+NA+Con+ThmPos+1+Pl+Prt	niwaawaatesiwenymnaaniba

1+waawaatesi+NA+Con+ThmPos+1+Pl+Voc+Pl	niwaawaatesiwenymnaany1dig

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt	niwaawaatesiwensmnaaniban
1+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt	niwaawaatesiwensmnaaniba

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Voc+Pl	niwaawaatesiwensmnaany1dig

2+waawaatesi+NA+Con+ThmPos+1+Pl+Prt	giwaawaatesiwenymnaaniban
2+waawaatesi+NA+Con+ThmPos+1+Pl+Prt	giwaawaatesiwenymnaaniba

2+waawaatesi+NA+Con+ThmPos+1+Pl+Voc+Pl	giwaawaatesiwenymnaany1dig

2+waawaatesi+NA+Con+ThmPos+2+Pl+Prt	giwaawaatesiwenymwaaban
2+waawaatesi+NA+Con+ThmPos+2+Pl+Prt	giwaawaatesiwenymwaaba

2+waawaatesi+NA+Con+ThmPos+2+Pl+Voc+Pl	giwaawaatesiwenymwaadig

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt	giwaawaatesiwensmnaaniban
2+waawaatesi+NA+Dim+ThmPos+1+Pl+Prt	giwaawaatesiwensmnaaniba

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Voc+Pl	giwaawaatesiwensmnaany1dig

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt	giwaawaatesiwensmwaaban
2+waawaatesi+NA+Dim+ThmPos+2+Pl+Prt	giwaawaatesiwensmwaaba

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Voc+Pl	giwaawaatesiwensmwaadig

3+waawaatesi+NA+Con+ThmPos+3+4+Prt	owaawaatesiwenymniwiban
3+waawaatesi+NA+Con+ThmPos+3+4+Prt	owaawaatesiwenymniwiba
3+waawaatesi+NA+Con+ThmPos+3+4+Prt	owaawaatesiwenymniiban
3+waawaatesi+NA+Con+ThmPos+3+4+Prt	owaawaatesiwenymniiba

3+waawaatesi+NA+Dim+ThmPos+3+4+Prt	owaawaatesiwensmniwiban
3+waawaatesi+NA+Dim+ThmPos+3+4+Prt	owaawaatesiwensmniwiba
3+waawaatesi+NA+Dim+ThmPos+3+4+Prt	owaawaatesiwensmniiban
3+waawaatesi+NA+Dim+ThmPos+3+4+Prt	owaawaatesiwensmniiba

1+waawaatesi+NA+Con+ThmPos+1+Pl+4	niwaawaatesiwenymnaanin

1+waawaatesi+NA+Con+ThmPos+1+Pl+Loc	niwaawaatesiwenymnaaning

1+waawaatesi+NA+Con+ThmPos+1+Pl+Pl	niwaawaatesiwenymnaany1ag

1+waawaatesi+NA+Dim+ThmPos+1+Pl+4	niwaawaatesiwensmnaanin

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Loc	niwaawaatesiwensmnaaning

1+waawaatesi+NA+Dim+ThmPos+1+Pl+Pl	niwaawaatesiwensmnaany1ag

2+waawaatesi+NA+Con+ThmPos+1+Pl+4	giwaawaatesiwenymnaanin

2+waawaatesi+NA+Con+ThmPos+1+Pl+Loc	giwaawaatesiwenymnaaning

2+waawaatesi+NA+Con+ThmPos+1+Pl+Pl	giwaawaatesiwenymnaany1ag

2+waawaatesi+NA+Con+ThmPos+2+Pl+4	giwaawaatesiwenymwaan

2+waawaatesi+NA+Con+ThmPos+2+Pl+Loc	giwaawaatesiwenymwaang

2+waawaatesi+NA+Con+ThmPos+2+Pl+Pl	giwaawaatesiwenymwaaag

2+waawaatesi+NA+Dim+ThmPos+1+Pl+4	giwaawaatesiwensmnaanin

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Loc	giwaawaatesiwensmnaaning

2+waawaatesi+NA+Dim+ThmPos+1+Pl+Pl	giwaawaatesiwensmnaany1ag

2+waawaatesi+NA+Dim+ThmPos+2+Pl+4	giwaawaatesiwensmwaan

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Loc	giwaawaatesiwensmwaang

2+waawaatesi+NA+Dim+ThmPos+2+Pl+Pl	giwaawaatesiwensmwaaag

3+waawaatesi+NA+Con+ThmPos+2+Pl+4	owaawaatesiwenymwaan

3+waawaatesi+NA+Con+ThmPos+2+Pl+Loc	owaawaatesiwenymwaang

3+waawaatesi+NA+Con+ThmPos+3+4+4	owaawaatesiwenymniwan

3+waawaatesi+NA+Con+ThmPos+3+4+Loc	owaawaatesiwenymniing

3+waawaatesi+NA+Dim+ThmPos+2+Pl+4	owaawaatesiwensmwaan

3+waawaatesi+NA+Dim+ThmPos+2+Pl+Loc	owaawaatesiwensmwaang

3+waawaatesi+NA+Dim+ThmPos+3+4+4	owaawaatesiwensmniwan

3+waawaatesi+NA+Dim+ThmPos+3+4+Loc	owaawaatesiwensmniing

1+waawaatesi+NA+Con+ThmPos+Prt+4	niwaawaatesiwenymibaniin

1+waawaatesi+NA+Con+ThmPos+Prt+Loc	niwaawaatesiwenymibaniing

1+waawaatesi+NA+Con+ThmPos+Prt+Pl	niwaawaatesiwenymibani1ag

1+waawaatesi+NA+Dim+ThmPos+Prt+4	niwaawaatesiwensmibaniin

1+waawaatesi+NA+Dim+ThmPos+Prt+Loc	niwaawaatesiwensmibaniing

1+waawaatesi+NA+Dim+ThmPos+Prt+Pl	niwaawaatesiwensmibani1ag

2+waawaatesi+NA+Con+ThmPos+Prt+4	giwaawaatesiwenymibaniin

2+waawaatesi+NA+Con+ThmPos+Prt+Loc	giwaawaatesiwenymibaniing

2+waawaatesi+NA+Con+ThmPos+Prt+Pl	giwaawaatesiwenymibani1ag

2+waawaatesi+NA+Dim+ThmPos+Prt+4	giwaawaatesiwensmibaniin

2+waawaatesi+NA+Dim+ThmPos+Prt+Loc	giwaawaatesiwensmibaniing

2+waawaatesi+NA+Dim+ThmPos+Prt+Pl	giwaawaatesiwensmibani1ag

3+waawaatesi+NA+Con+ThmPos+Prt+4	owaawaatesiwenymibaniin

3+waawaatesi+NA+Con+ThmPos+Prt+Loc	owaawaatesiwenymibaniing

3+waawaatesi+NA+Dim+ThmPos+Prt+4	owaawaatesiwensmibaniin

3+waawaatesi+NA+Dim+ThmPos+Prt+Loc	owaawaatesiwensmibaniing

X+waawaatesi+NA+Con+ThmPos+Prt+4	iwaawaatesiwenymibaniin

X+waawaatesi+NA+Con+ThmPos+Prt+Loc	iwaawaatesiwenymibaniing

X+waawaatesi+NA+Con+ThmPos+Prt+Pl	iwaawaatesiwenymibani1ag

X+waawaatesi+NA+Dim+ThmPos+Prt+4	iwaawaatesiwensmibaniin

X+waawaatesi+NA+Dim+ThmPos+Prt+Loc	iwaawaatesiwensmibaniing

X+waawaatesi+NA+Dim+ThmPos+Prt+Pl	iwaawaatesiwensmibani1ag

1+waawaatesi+NA+Con+Pej+1+Pl+Prt	niwaawaatesiwenyishnaaniban
1+waawaatesi+NA+Con+Pej+1+Pl+Prt	niwaawaatesiwenyishnaaniba

1+waawaatesi+NA+Con+Pej+1+Pl+Voc+Pl	niwaawaatesiwenyishnaany1dig

1+waawaatesi+NA+Dim+Pej+1+Pl+Prt	niwaawaatesiwensishnaaniban
1+waawaatesi+NA+Dim+Pej+1+Pl+Prt	niwaawaatesiwensishnaaniba

1+waawaatesi+NA+Dim+Pej+1+Pl+Voc+Pl	niwaawaatesiwensishnaany1dig

2+waawaatesi+NA+Con+Pej+1+Pl+Prt	giwaawaatesiwenyishnaaniban
2+waawaatesi+NA+Con+Pej+1+Pl+Prt	giwaawaatesiwenyishnaaniba

2+waawaatesi+NA+Con+Pej+1+Pl+Voc+Pl	giwaawaatesiwenyishnaany1dig

2+waawaatesi+NA+Con+Pej+2+Pl+Prt	giwaawaatesiwenyishwaaban
2+waawaatesi+NA+Con+Pej+2+Pl+Prt	giwaawaatesiwenyishwaaba

2+waawaatesi+NA+Con+Pej+2+Pl+Voc+Pl	giwaawaatesiwenyishwaadig

2+waawaatesi+NA+Dim+Pej+1+Pl+Prt	giwaawaatesiwensishnaaniban
2+waawaatesi+NA+Dim+Pej+1+Pl+Prt	giwaawaatesiwensishnaaniba

2+waawaatesi+NA+Dim+Pej+1+Pl+Voc+Pl	giwaawaatesiwensishnaany1dig

2+waawaatesi+NA+Dim+Pej+2+Pl+Prt	giwaawaatesiwensishwaaban
2+waawaatesi+NA+Dim+Pej+2+Pl+Prt	giwaawaatesiwensishwaaba

2+waawaatesi+NA+Dim+Pej+2+Pl+Voc+Pl	giwaawaatesiwensishwaadig

3+waawaatesi+NA+Con+Pej+3+4+Prt	owaawaatesiwenyishniwiban
3+waawaatesi+NA+Con+Pej+3+4+Prt	owaawaatesiwenyishniwiba
3+waawaatesi+NA+Con+Pej+3+4+Prt	owaawaatesiwenyishniiban
3+waawaatesi+NA+Con+Pej+3+4+Prt	owaawaatesiwenyishniiba

3+waawaatesi+NA+Dim+Pej+3+4+Prt	owaawaatesiwensishniwiban
3+waawaatesi+NA+Dim+Pej+3+4+Prt	owaawaatesiwensishniwiba
3+waawaatesi+NA+Dim+Pej+3+4+Prt	owaawaatesiwensishniiban
3+waawaatesi+NA+Dim+Pej+3+4+Prt	owaawaatesiwensishniiba

1+waawaatesi+NA+Con+Pej+1+Pl+4	niwaawaatesiwenyishnaanin

1+waawaatesi+NA+Con+Pej+1+Pl+Loc	niwaawaatesiwenyishnaaning

1+waawaatesi+NA+Con+Pej+1+Pl+Pl	niwaawaatesiwenyishnaany1ag

1+waawaatesi+NA+Dim+Pej+1+Pl+4	niwaawaatesiwensishnaanin

1+waawaatesi+NA+Dim+Pej+1+Pl+Loc	niwaawaatesiwensishnaaning

1+waawaatesi+NA+Dim+Pej+1+Pl+Pl	niwaawaatesiwensishnaany1ag

2+waawaatesi+NA+Con+Pej+1+Pl+4	giwaawaatesiwenyishnaanin

2+waawaatesi+NA+Con+Pej+1+Pl+Loc	giwaawaatesiwenyishnaaning

