jooweshk+NA	jooweshk
2+jooweshk+NA+ThmPos+Pej+1+Pl	gijooweshkmishnaa

2+jooweshk+NA+ThmPos+Pej+2+Pl	gijooweshkmishwaa

3+jooweshk+NA+ThmPos+Pej+3+4	ojooweshkmishniw

1+jooweshk+NA+ThmPos+Pej+Prt	nijooweshkmishiban
1+jooweshk+NA+ThmPos+Pej+Prt	nijooweshkmishiba

1+jooweshk+NA+ThmPos+Pej+Voc+Pl	nijooweshkmishdig

2+jooweshk+NA+ThmPos+Pej+Prt	gijooweshkmishiban
2+jooweshk+NA+ThmPos+Pej+Prt	gijooweshkmishiba

2+jooweshk+NA+ThmPos+Pej+Voc+Pl	gijooweshkmishdig

X+jooweshk+NA+ThmPos+Pej+Prt	ijooweshkmishiban
X+jooweshk+NA+ThmPos+Pej+Prt	ijooweshkmishiba

X+jooweshk+NA+ThmPos+Pej+Voc+Pl	ijooweshkmishdig

1+jooweshk+NA+ThmPos+Pej+4	nijooweshkmishan

1+jooweshk+NA+ThmPos+Pej+Loc	nijooweshkmishing

1+jooweshk+NA+ThmPos+Pej+Pl	nijooweshkmishag

2+jooweshk+NA+ThmPos+Pej+4	gijooweshkmishan

2+jooweshk+NA+ThmPos+Pej+Loc	gijooweshkmishing

2+jooweshk+NA+ThmPos+Pej+Pl	gijooweshkmishag

3+jooweshk+NA+ThmPos+Pej+4	ojooweshkmishan

3+jooweshk+NA+ThmPos+Pej+Loc	ojooweshkmishing

X+jooweshk+NA+ThmPos+Pej+4	ijooweshkmishan

X+jooweshk+NA+ThmPos+Pej+Loc	ijooweshkmishing

X+jooweshk+NA+ThmPos+Pej+Pl	ijooweshkmishag

1+jooweshk+NA+ThmPos+1+Pl+Prt	nijooweshkmnaaniban
1+jooweshk+NA+ThmPos+1+Pl+Prt	nijooweshkmnaaniba

1+jooweshk+NA+ThmPos+1+Pl+Voc+Pl	nijooweshkmnaany1dig

2+jooweshk+NA+ThmPos+1+Pl+Prt	gijooweshkmnaaniban
2+jooweshk+NA+ThmPos+1+Pl+Prt	gijooweshkmnaaniba

2+jooweshk+NA+ThmPos+1+Pl+Voc+Pl	gijooweshkmnaany1dig

2+jooweshk+NA+ThmPos+2+Pl+Prt	gijooweshkmwaaban
2+jooweshk+NA+ThmPos+2+Pl+Prt	gijooweshkmwaaba

2+jooweshk+NA+ThmPos+2+Pl+Voc+Pl	gijooweshkmwaadig

3+jooweshk+NA+ThmPos+3+4+Prt	ojooweshkmniwiban
3+jooweshk+NA+ThmPos+3+4+Prt	ojooweshkmniwiba
3+jooweshk+NA+ThmPos+3+4+Prt	ojooweshkmniiban
3+jooweshk+NA+ThmPos+3+4+Prt	ojooweshkmniiba

1+jooweshk+NA+ThmPos+1+Pl+4	nijooweshkmnaanin

1+jooweshk+NA+ThmPos+1+Pl+Loc	nijooweshkmnaaning

1+jooweshk+NA+ThmPos+1+Pl+Pl	nijooweshkmnaany1ag

2+jooweshk+NA+ThmPos+1+Pl+4	gijooweshkmnaanin

2+jooweshk+NA+ThmPos+1+Pl+Loc	gijooweshkmnaaning

2+jooweshk+NA+ThmPos+1+Pl+Pl	gijooweshkmnaany1ag

2+jooweshk+NA+ThmPos+2+Pl+4	gijooweshkmwaan

2+jooweshk+NA+ThmPos+2+Pl+Loc	gijooweshkmwaang

2+jooweshk+NA+ThmPos+2+Pl+Pl	gijooweshkmwaaag

3+jooweshk+NA+ThmPos+2+Pl+4	ojooweshkmwaan

3+jooweshk+NA+ThmPos+2+Pl+Loc	ojooweshkmwaang

3+jooweshk+NA+ThmPos+3+4+4	ojooweshkmniwan

3+jooweshk+NA+ThmPos+3+4+Loc	ojooweshkmniing

1+jooweshk+NA+ThmPos+Prt+4	nijooweshkmibaniin

1+jooweshk+NA+ThmPos+Prt+Loc	nijooweshkmibaniing

1+jooweshk+NA+ThmPos+Prt+Pl	nijooweshkmibani1ag

2+jooweshk+NA+ThmPos+Prt+4	gijooweshkmibaniin

2+jooweshk+NA+ThmPos+Prt+Loc	gijooweshkmibaniing

2+jooweshk+NA+ThmPos+Prt+Pl	gijooweshkmibani1ag

3+jooweshk+NA+ThmPos+Prt+4	ojooweshkmibaniin

3+jooweshk+NA+ThmPos+Prt+Loc	ojooweshkmibaniing

X+jooweshk+NA+ThmPos+Prt+4	ijooweshkmibaniin

X+jooweshk+NA+ThmPos+Prt+Loc	ijooweshkmibaniing

X+jooweshk+NA+ThmPos+Prt+Pl	ijooweshkmibani1ag

1+jooweshk+NA+Pej+1+Pl+Prt	nijooweshkshnaaniban
1+jooweshk+NA+Pej+1+Pl+Prt	nijooweshkshnaaniba

1+jooweshk+NA+Pej+1+Pl+Voc+Pl	nijooweshkshnaany1dig

2+jooweshk+NA+Pej+1+Pl+Prt	gijooweshkshnaaniban
2+jooweshk+NA+Pej+1+Pl+Prt	gijooweshkshnaaniba

2+jooweshk+NA+Pej+1+Pl+Voc+Pl	gijooweshkshnaany1dig

2+jooweshk+NA+Pej+2+Pl+Prt	gijooweshkshwaaban
2+jooweshk+NA+Pej+2+Pl+Prt	gijooweshkshwaaba

2+jooweshk+NA+Pej+2+Pl+Voc+Pl	gijooweshkshwaadig

3+jooweshk+NA+Pej+3+4+Prt	ojooweshkshniwiban
3+jooweshk+NA+Pej+3+4+Prt	ojooweshkshniwiba
3+jooweshk+NA+Pej+3+4+Prt	ojooweshkshniiban
3+jooweshk+NA+Pej+3+4+Prt	ojooweshkshniiba

1+jooweshk+NA+Pej+1+Pl+4	nijooweshkshnaanin

1+jooweshk+NA+Pej+1+Pl+Loc	nijooweshkshnaaning

1+jooweshk+NA+Pej+1+Pl+Pl	nijooweshkshnaany1ag

2+jooweshk+NA+Pej+1+Pl+4	gijooweshkshnaanin

2+jooweshk+NA+Pej+1+Pl+Loc	gijooweshkshnaaning

2+jooweshk+NA+Pej+1+Pl+Pl	gijooweshkshnaany1ag

2+jooweshk+NA+Pej+2+Pl+4	gijooweshkshwaan

2+jooweshk+NA+Pej+2+Pl+Loc	gijooweshkshwaang

2+jooweshk+NA+Pej+2+Pl+Pl	gijooweshkshwaaag

3+jooweshk+NA+Pej+2+Pl+4	ojooweshkshwaan

3+jooweshk+NA+Pej+2+Pl+Loc	ojooweshkshwaang

3+jooweshk+NA+Pej+3+4+4	ojooweshkshniwan

3+jooweshk+NA+Pej+3+4+Loc	ojooweshkshniing

1+jooweshk+NA+Pej+Prt+4	nijooweshkshibaniin

1+jooweshk+NA+Pej+Prt+Loc	nijooweshkshibaniing

1+jooweshk+NA+Pej+Prt+Pl	nijooweshkshibani1ag

2+jooweshk+NA+Pej+Prt+4	gijooweshkshibaniin

2+jooweshk+NA+Pej+Prt+Loc	gijooweshkshibaniing

2+jooweshk+NA+Pej+Prt+Pl	gijooweshkshibani1ag

3+jooweshk+NA+Pej+Prt+4	ojooweshkshibaniin

3+jooweshk+NA+Pej+Prt+Loc	ojooweshkshibaniing

X+jooweshk+NA+Pej+Prt+4	ijooweshkshibaniin

X+jooweshk+NA+Pej+Prt+Loc	ijooweshkshibaniing

X+jooweshk+NA+Pej+Prt+Pl	ijooweshkshibani1ag

1+jooweshk+NA+1+Pl+Prt+4	nijooweshknaanibaniin

1+jooweshk+NA+1+Pl+Prt+Loc	nijooweshknaanibaniing

1+jooweshk+NA+1+Pl+Prt+Pl	nijooweshknaanibani1ag

2+jooweshk+NA+1+Pl+Prt+4	gijooweshknaanibaniin

2+jooweshk+NA+1+Pl+Prt+Loc	gijooweshknaanibaniing

2+jooweshk+NA+1+Pl+Prt+Pl	gijooweshknaanibani1ag

2+jooweshk+NA+2+Pl+Prt+4	gijooweshkwaabaniin

2+jooweshk+NA+2+Pl+Prt+Loc	gijooweshkwaabaniing

2+jooweshk+NA+2+Pl+Prt+Pl	gijooweshkwaabani1ag

3+jooweshk+NA+2+Pl+Prt+4	ojooweshkwaabaniin

3+jooweshk+NA+2+Pl+Prt+Loc	ojooweshkwaabaniing

3+jooweshk+NA+3+4+Prt+4	ojooweshkniwibaniin
3+jooweshk+NA+3+4+Prt+4	ojooweshkniibaniin

3+jooweshk+NA+3+4+Prt+Loc	ojooweshkniwibaniing
3+jooweshk+NA+3+4+Prt+Loc	ojooweshkniibaniing

jooweshk+NA+Con+Pej+Prt+4	jooweshkenyishibaniin

jooweshk+NA+Con+Pej+Prt+Loc	jooweshkenyishibaniing

jooweshk+NA+Con+Pej+Prt+Pl	jooweshkenyishibani1ag

jooweshk+NA+Dim+Pej+Prt+4	jooweshkensishibaniin

jooweshk+NA+Dim+Pej+Prt+Loc	jooweshkensishibaniing

jooweshk+NA+Dim+Pej+Prt+Pl	jooweshkensishibani1ag

1+jooweshk+NA+Con+ThmPos+Pej+1+Pl	nijooweshkenymishnaan
1+jooweshk+NA+Con+ThmPos+Pej+1+Pl	nijooweshkenymishnaa

1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl	nijooweshkensmishnaan
1+jooweshk+NA+Dim+ThmPos+Pej+1+Pl	nijooweshkensmishnaa

2+jooweshk+NA+Con+ThmPos+Pej+1+Pl	gijooweshkenymishnaan
2+jooweshk+NA+Con+ThmPos+Pej+1+Pl	gijooweshkenymishnaa

2+jooweshk+NA+Con+ThmPos+Pej+2+Pl	gijooweshkenymishwaa

2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl	gijooweshkensmishnaan
2+jooweshk+NA+Dim+ThmPos+Pej+1+Pl	gijooweshkensmishnaa

2+jooweshk+NA+Dim+ThmPos+Pej+2+Pl	gijooweshkensmishwaa

3+jooweshk+NA+Con+ThmPos+Pej+3+4	ojooweshkenymishniw

3+jooweshk+NA+Dim+ThmPos+Pej+3+4	ojooweshkensmishniw

1+jooweshk+NA+Con+ThmPos+Pej+Prt	nijooweshkenymishiban
1+jooweshk+NA+Con+ThmPos+Pej+Prt	nijooweshkenymishiba

1+jooweshk+NA+Con+ThmPos+Pej+Voc+Pl	nijooweshkenymishdig

1+jooweshk+NA+Dim+ThmPos+Pej+Prt	nijooweshkensmishiban
1+jooweshk+NA+Dim+ThmPos+Pej+Prt	nijooweshkensmishiba

1+jooweshk+NA+Dim+ThmPos+Pej+Voc+Pl	nijooweshkensmishdig

2+jooweshk+NA+Con+ThmPos+Pej+Prt	gijooweshkenymishiban
2+jooweshk+NA+Con+ThmPos+Pej+Prt	gijooweshkenymishiba

2+jooweshk+NA+Con+ThmPos+Pej+Voc+Pl	gijooweshkenymishdig

2+jooweshk+NA+Dim+ThmPos+Pej+Prt	gijooweshkensmishiban
2+jooweshk+NA+Dim+ThmPos+Pej+Prt	gijooweshkensmishiba

2+jooweshk+NA+Dim+ThmPos+Pej+Voc+Pl	gijooweshkensmishdig

X+jooweshk+NA+Con+ThmPos+Pej+Prt	ijooweshkenymishiban
X+jooweshk+NA+Con+ThmPos+Pej+Prt	ijooweshkenymishiba

X+jooweshk+NA+Con+ThmPos+Pej+Voc+Pl	ijooweshkenymishdig

X+jooweshk+NA+Dim+ThmPos+Pej+Prt	ijooweshkensmishiban
X+jooweshk+NA+Dim+ThmPos+Pej+Prt	ijooweshkensmishiba

X+jooweshk+NA+Dim+ThmPos+Pej+Voc+Pl	ijooweshkensmishdig

1+jooweshk+NA+Con+ThmPos+Pej+4	nijooweshkenymishan

1+jooweshk+NA+Con+ThmPos+Pej+Loc	nijooweshkenymishing

1+jooweshk+NA+Con+ThmPos+Pej+Pl	nijooweshkenymishag

1+jooweshk+NA+Dim+ThmPos+Pej+4	nijooweshkensmishan

1+jooweshk+NA+Dim+ThmPos+Pej+Loc	nijooweshkensmishing

1+jooweshk+NA+Dim+ThmPos+Pej+Pl	nijooweshkensmishag

2+jooweshk+NA+Con+ThmPos+Pej+4	gijooweshkenymishan

2+jooweshk+NA+Con+ThmPos+Pej+Loc	gijooweshkenymishing

2+jooweshk+NA+Con+ThmPos+Pej+Pl	gijooweshkenymishag

2+jooweshk+NA+Dim+ThmPos+Pej+4	gijooweshkensmishan

2+jooweshk+NA+Dim+ThmPos+Pej+Loc	gijooweshkensmishing

2+jooweshk+NA+Dim+ThmPos+Pej+Pl	gijooweshkensmishag

3+jooweshk+NA+Con+ThmPos+Pej+4	ojooweshkenymishan

3+jooweshk+NA+Con+ThmPos+Pej+Loc	ojooweshkenymishing

3+jooweshk+NA+Dim+ThmPos+Pej+4	ojooweshkensmishan

3+jooweshk+NA+Dim+ThmPos+Pej+Loc	ojooweshkensmishing

X+jooweshk+NA+Con+ThmPos+Pej+4	ijooweshkenymishan

X+jooweshk+NA+Con+ThmPos+Pej+Loc	ijooweshkenymishing

X+jooweshk+NA+Con+ThmPos+Pej+Pl	ijooweshkenymishag

X+jooweshk+NA+Dim+ThmPos+Pej+4	ijooweshkensmishan

X+jooweshk+NA+Dim+ThmPos+Pej+Loc	ijooweshkensmishing

X+jooweshk+NA+Dim+ThmPos+Pej+Pl	ijooweshkensmishag

1+jooweshk+NA+Con+ThmPos+1+Pl+Prt	nijooweshkenymnaaniban
1+jooweshk+NA+Con+ThmPos+1+Pl+Prt	nijooweshkenymnaaniba

1+jooweshk+NA+Con+ThmPos+1+Pl+Voc+Pl	nijooweshkenymnaany1dig

1+jooweshk+NA+Dim+ThmPos+1+Pl+Prt	nijooweshkensmnaaniban
1+jooweshk+NA+Dim+ThmPos+1+Pl+Prt	nijooweshkensmnaaniba

1+jooweshk+NA+Dim+ThmPos+1+Pl+Voc+Pl	nijooweshkensmnaany1dig

2+jooweshk+NA+Con+ThmPos+1+Pl+Prt	gijooweshkenymnaaniban
2+jooweshk+NA+Con+ThmPos+1+Pl+Prt	gijooweshkenymnaaniba

2+jooweshk+NA+Con+ThmPos+1+Pl+Voc+Pl	gijooweshkenymnaany1dig

2+jooweshk+NA+Con+ThmPos+2+Pl+Prt	gijooweshkenymwaaban
2+jooweshk+NA+Con+ThmPos+2+Pl+Prt	gijooweshkenymwaaba

2+jooweshk+NA+Con+ThmPos+2+Pl+Voc+Pl	gijooweshkenymwaadig

2+jooweshk+NA+Dim+ThmPos+1+Pl+Prt	gijooweshkensmnaaniban
2+jooweshk+NA+Dim+ThmPos+1+Pl+Prt	gijooweshkensmnaaniba

2+jooweshk+NA+Dim+ThmPos+1+Pl+Voc+Pl	gijooweshkensmnaany1dig

2+jooweshk+NA+Dim+ThmPos+2+Pl+Prt	gijooweshkensmwaaban
2+jooweshk+NA+Dim+ThmPos+2+Pl+Prt	gijooweshkensmwaaba

2+jooweshk+NA+Dim+ThmPos+2+Pl+Voc+Pl	gijooweshkensmwaadig

3+jooweshk+NA+Con+ThmPos+3+4+Prt	ojooweshkenymniwiban
3+jooweshk+NA+Con+ThmPos+3+4+Prt	ojooweshkenymniwiba
3+jooweshk+NA+Con+ThmPos+3+4+Prt	ojooweshkenymniiban
3+jooweshk+NA+Con+ThmPos+3+4+Prt	ojooweshkenymniiba

3+jooweshk+NA+Dim+ThmPos+3+4+Prt	ojooweshkensmniwiban
3+jooweshk+NA+Dim+ThmPos+3+4+Prt	ojooweshkensmniwiba
3+jooweshk+NA+Dim+ThmPos+3+4+Prt	ojooweshkensmniiban
3+jooweshk+NA+Dim+ThmPos+3+4+Prt	ojooweshkensmniiba

1+jooweshk+NA+Con+ThmPos+1+Pl+4	nijooweshkenymnaanin

1+jooweshk+NA+Con+ThmPos+1+Pl+Loc	nijooweshkenymnaaning

1+jooweshk+NA+Con+ThmPos+1+Pl+Pl	nijooweshkenymnaany1ag

1+jooweshk+NA+Dim+ThmPos+1+Pl+4	nijooweshkensmnaanin

1+jooweshk+NA+Dim+ThmPos+1+Pl+Loc	nijooweshkensmnaaning

1+jooweshk+NA+Dim+ThmPos+1+Pl+Pl	nijooweshkensmnaany1ag

2+jooweshk+NA+Con+ThmPos+1+Pl+4	gijooweshkenymnaanin

2+jooweshk+NA+Con+ThmPos+1+Pl+Loc	gijooweshkenymnaaning

2+jooweshk+NA+Con+ThmPos+1+Pl+Pl	gijooweshkenymnaany1ag

2+jooweshk+NA+Con+ThmPos+2+Pl+4	gijooweshkenymwaan

2+jooweshk+NA+Con+ThmPos+2+Pl+Loc	gijooweshkenymwaang

2+jooweshk+NA+Con+ThmPos+2+Pl+Pl	gijooweshkenymwaaag

2+jooweshk+NA+Dim+ThmPos+1+Pl+4	gijooweshkensmnaanin

2+jooweshk+NA+Dim+ThmPos+1+Pl+Loc	gijooweshkensmnaaning

2+jooweshk+NA+Dim+ThmPos+1+Pl+Pl	gijooweshkensmnaany1ag

2+jooweshk+NA+Dim+ThmPos+2+Pl+4	gijooweshkensmwaan

2+jooweshk+NA+Dim+ThmPos+2+Pl+Loc	gijooweshkensmwaang

2+jooweshk+NA+Dim+ThmPos+2+Pl+Pl	gijooweshkensmwaaag

3+jooweshk+NA+Con+ThmPos+2+Pl+4	ojooweshkenymwaan

3+jooweshk+NA+Con+ThmPos+2+Pl+Loc	ojooweshkenymwaang

3+jooweshk+NA+Con+ThmPos+3+4+4	ojooweshkenymniwan

3+jooweshk+NA+Con+ThmPos+3+4+Loc	ojooweshkenymniing

3+jooweshk+NA+Dim+ThmPos+2+Pl+4	ojooweshkensmwaan

3+jooweshk+NA+Dim+ThmPos+2+Pl+Loc	ojooweshkensmwaang

3+jooweshk+NA+Dim+ThmPos+3+4+4	ojooweshkensmniwan

3+jooweshk+NA+Dim+ThmPos+3+4+Loc	ojooweshkensmniing

1+jooweshk+NA+Con+ThmPos+Prt+4	nijooweshkenymibaniin

1+jooweshk+NA+Con+ThmPos+Prt+Loc	nijooweshkenymibaniing

1+jooweshk+NA+Con+ThmPos+Prt+Pl	nijooweshkenymibani1ag

1+jooweshk+NA+Dim+ThmPos+Prt+4	nijooweshkensmibaniin

1+jooweshk+NA+Dim+ThmPos+Prt+Loc	nijooweshkensmibaniing

1+jooweshk+NA+Dim+ThmPos+Prt+Pl	nijooweshkensmibani1ag

2+jooweshk+NA+Con+ThmPos+Prt+4	gijooweshkenymibaniin

2+jooweshk+NA+Con+ThmPos+Prt+Loc	gijooweshkenymibaniing

2+jooweshk+NA+Con+ThmPos+Prt+Pl	gijooweshkenymibani1ag

2+jooweshk+NA+Dim+ThmPos+Prt+4	gijooweshkensmibaniin

2+jooweshk+NA+Dim+ThmPos+Prt+Loc	gijooweshkensmibaniing

2+jooweshk+NA+Dim+ThmPos+Prt+Pl	gijooweshkensmibani1ag

3+jooweshk+NA+Con+ThmPos+Prt+4	ojooweshkenymibaniin

3+jooweshk+NA+Con+ThmPos+Prt+Loc	ojooweshkenymibaniing

3+jooweshk+NA+Dim+ThmPos+Prt+4	ojooweshkensmibaniin

3+jooweshk+NA+Dim+ThmPos+Prt+Loc	ojooweshkensmibaniing

X+jooweshk+NA+Con+ThmPos+Prt+4	ijooweshkenymibaniin

X+jooweshk+NA+Con+ThmPos+Prt+Loc	ijooweshkenymibaniing

X+jooweshk+NA+Con+ThmPos+Prt+Pl	ijooweshkenymibani1ag

X+jooweshk+NA+Dim+ThmPos+Prt+4	ijooweshkensmibaniin

X+jooweshk+NA+Dim+ThmPos+Prt+Loc	ijooweshkensmibaniing

X+jooweshk+NA+Dim+ThmPos+Prt+Pl	ijooweshkensmibani1ag

1+jooweshk+NA+Con+Pej+1+Pl+Prt	nijooweshkenyishnaaniban
1+jooweshk+NA+Con+Pej+1+Pl+Prt	nijooweshkenyishnaaniba

1+jooweshk+NA+Con+Pej+1+Pl+Voc+Pl	nijooweshkenyishnaany1dig

1+jooweshk+NA+Dim+Pej+1+Pl+Prt	nijooweshkensishnaaniban
1+jooweshk+NA+Dim+Pej+1+Pl+Prt	nijooweshkensishnaaniba

1+jooweshk+NA+Dim+Pej+1+Pl+Voc+Pl	nijooweshkensishnaany1dig

2+jooweshk+NA+Con+Pej+1+Pl+Prt	gijooweshkenyishnaaniban
2+jooweshk+NA+Con+Pej+1+Pl+Prt	gijooweshkenyishnaaniba

2+jooweshk+NA+Con+Pej+1+Pl+Voc+Pl	gijooweshkenyishnaany1dig

2+jooweshk+NA+Con+Pej+2+Pl+Prt	gijooweshkenyishwaaban
2+jooweshk+NA+Con+Pej+2+Pl+Prt	gijooweshkenyishwaaba

2+jooweshk+NA+Con+Pej+2+Pl+Voc+Pl	gijooweshkenyishwaadig

2+jooweshk+NA+Dim+Pej+1+Pl+Prt	gijooweshkensishnaaniban
2+jooweshk+NA+Dim+Pej+1+Pl+Prt	gijooweshkensishnaaniba

2+jooweshk+NA+Dim+Pej+1+Pl+Voc+Pl	gijooweshkensishnaany1dig

2+jooweshk+NA+Dim+Pej+2+Pl+Prt	gijooweshkensishwaaban
2+jooweshk+NA+Dim+Pej+2+Pl+Prt	gijooweshkensishwaaba

2+jooweshk+NA+Dim+Pej+2+Pl+Voc+Pl	gijooweshkensishwaadig

3+jooweshk+NA+Con+Pej+3+4+Prt	ojooweshkenyishniwiban
3+jooweshk+NA+Con+Pej+3+4+Prt	ojooweshkenyishniwiba
3+jooweshk+NA+Con+Pej+3+4+Prt	ojooweshkenyishniiban
3+jooweshk+NA+Con+Pej+3+4+Prt	ojooweshkenyishniiba

3+jooweshk+NA+Dim+Pej+3+4+Prt	ojooweshkensishniwiban
3+jooweshk+NA+Dim+Pej+3+4+Prt	ojooweshkensishniwiba
3+jooweshk+NA+Dim+Pej+3+4+Prt	ojooweshkensishniiban
3+jooweshk+NA+Dim+Pej+3+4+Prt	ojooweshkensishniiba

1+jooweshk+NA+Con+Pej+1+Pl+4	nijooweshkenyishnaanin

1+jooweshk+NA+Con+Pej+1+Pl+Loc	nijooweshkenyishnaaning

1+jooweshk+NA+Con+Pej+1+Pl+Pl	nijooweshkenyishnaany1ag

1+jooweshk+NA+Dim+Pej+1+Pl+4	nijooweshkensishnaanin

1+jooweshk+NA+Dim+Pej+1+Pl+Loc	nijooweshkensishnaaning

1+jooweshk+NA+Dim+Pej+1+Pl+Pl	nijooweshkensishnaany1ag

2+jooweshk+NA+Con+Pej+1+Pl+4	gijooweshkenyishnaanin

2+jooweshk+NA+Con+Pej+1+Pl+Loc	gijooweshkenyishnaaning

2+jooweshk+NA+Con+Pej+1+Pl+Pl	gijooweshkenyishnaany1ag

2+jooweshk+NA+Con+Pej+2+Pl+4	gijooweshkenyishwaan

2+jooweshk+NA+Con+Pej+2+Pl+Loc	gijooweshkenyishwaang

2+jooweshk+NA+Con+Pej+2+Pl+Pl	gijooweshkenyishwaaag

2+jooweshk+NA+Dim+Pej+1+Pl+4	gijooweshkensishnaanin

2+jooweshk+NA+Dim+Pej+1+Pl+Loc	gijooweshkensishnaaning

2+jooweshk+NA+Dim+Pej+1+Pl+Pl	gijooweshkensishnaany1ag

2+jooweshk+NA+Dim+Pej+2+Pl+4	gijooweshkensishwaan

2+jooweshk+NA+Dim+Pej+2+Pl+Loc	gijooweshkensishwaang

2+jooweshk+NA+Dim+Pej+2+Pl+Pl	gijooweshkensishwaaag

3+jooweshk+NA+Con+Pej+2+Pl+4	ojooweshkenyishwaan

3+jooweshk+NA+Con+Pej+2+Pl+Loc	ojooweshkenyishwaang

3+jooweshk+NA+Con+Pej+3+4+4	ojooweshkenyishniwan

3+jooweshk+NA+Con+Pej+3+4+Loc	ojooweshkenyishniing

3+jooweshk+NA+Dim+Pej+2+Pl+4	ojooweshkensishwaan

3+jooweshk+NA+Dim+Pej+2+Pl+Loc	ojooweshkensishwaang

3+jooweshk+NA+Dim+Pej+3+4+4	ojooweshkensishniwan

3+jooweshk+NA+Dim+Pej+3+4+Loc	ojooweshkensishniing

1+jooweshk+NA+Con+Pej+Prt+4	nijooweshkenyishibaniin

1+jooweshk+NA+Con+Pej+Prt+Loc	nijooweshkenyishibaniing

1+jooweshk+NA+Con+Pej+Prt+Pl	nijooweshkenyishibani1ag

1+jooweshk+NA+Dim+Pej+Prt+4	nijooweshkensishibaniin

1+jooweshk+NA+Dim+Pej+Prt+Loc	nijooweshkensishibaniing

1+jooweshk+NA+Dim+Pej+Prt+Pl	nijooweshkensishibani1ag

2+jooweshk+NA+Con+Pej+Prt+4	gijooweshkenyishibaniin

2+jooweshk+NA+Con+Pej+Prt+Loc	gijooweshkenyishibaniing

2+jooweshk+NA+Con+Pej+Prt+Pl	gijooweshkenyishibani1ag

2+jooweshk+NA+Dim+Pej+Prt+4	gijooweshkensishibaniin

2+jooweshk+NA+Dim+Pej+Prt+Loc	gijooweshkensishibaniing

2+jooweshk+NA+Dim+Pej+Prt+Pl	gijooweshkensishibani1ag

3+jooweshk+NA+Con+Pej+Prt+4	ojooweshkenyishibaniin

3+jooweshk+NA+Con+Pej+Prt+Loc	ojooweshkenyishibaniing

3+jooweshk+NA+Dim+Pej+Prt+4	ojooweshkensishibaniin

3+jooweshk+NA+Dim+Pej+Prt+Loc	ojooweshkensishibaniing

X+jooweshk+NA+Con+Pej+Prt+4	ijooweshkenyishibaniin

X+jooweshk+NA+Con+Pej+Prt+Loc	ijooweshkenyishibaniing

X+jooweshk+NA+Con+Pej+Prt+Pl	ijooweshkenyishibani1ag

X+jooweshk+NA+Dim+Pej+Prt+4	ijooweshkensishibaniin

X+jooweshk+NA+Dim+Pej+Prt+Loc	ijooweshkensishibaniing

X+jooweshk+NA+Dim+Pej+Prt+Pl	ijooweshkensishibani1ag

1+jooweshk+NA+Con+1+Pl+Prt+4	nijooweshkenynaanibaniin

1+jooweshk+NA+Con+1+Pl+Prt+Loc	nijooweshkenynaanibaniing

1+jooweshk+NA+Con+1+Pl+Prt+Pl	nijooweshkenynaanibani1ag

1+jooweshk+NA+Dim+1+Pl+Prt+4	nijooweshkensnaanibaniin

1+jooweshk+NA+Dim+1+Pl+Prt+Loc	nijooweshkensnaanibaniing

1+jooweshk+NA+Dim+1+Pl+Prt+Pl	nijooweshkensnaanibani1ag

2+jooweshk+NA+Con+1+Pl+Prt+4	gijooweshkenynaanibaniin

2+jooweshk+NA+Con+1+Pl+Prt+Loc	gijooweshkenynaanibaniing

2+jooweshk+NA+Con+1+Pl+Prt+Pl	gijooweshkenynaanibani1ag

2+jooweshk+NA+Con+2+Pl+Prt+4	gijooweshkenywaabaniin

2+jooweshk+NA+Con+2+Pl+Prt+Loc	gijooweshkenywaabaniing

2+jooweshk+NA+Con+2+Pl+Prt+Pl	gijooweshkenywaabani1ag

2+jooweshk+NA+Dim+1+Pl+Prt+4	gijooweshkensnaanibaniin

2+jooweshk+NA+Dim+1+Pl+Prt+Loc	gijooweshkensnaanibaniing

2+jooweshk+NA+Dim+1+Pl+Prt+Pl	gijooweshkensnaanibani1ag

2+jooweshk+NA+Dim+2+Pl+Prt+4	gijooweshkenswaabaniin

2+jooweshk+NA+Dim+2+Pl+Prt+Loc	gijooweshkenswaabaniing

2+jooweshk+NA+Dim+2+Pl+Prt+Pl	gijooweshkenswaabani1ag

3+jooweshk+NA+Con+2+Pl+Prt+4	ojooweshkenywaabaniin

3+jooweshk+NA+Con+2+Pl+Prt+Loc	ojooweshkenywaabaniing

3+jooweshk+NA+Con+3+4+Prt+4	ojooweshkenyniwibaniin
3+jooweshk+NA+Con+3+4+Prt+4	ojooweshkenyniibaniin

3+jooweshk+NA+Con+3+4+Prt+Loc	ojooweshkenyniwibaniing
3+jooweshk+NA+Con+3+4+Prt+Loc	ojooweshkenyniibaniing

